dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,29,406,TABU_S,2137.0,2020,0.057920792079207924,6.15257,10,15,0.2
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,37.8906,10,15,0.5
instancias-tsplib,29,406,TABU_S,2041.0,2020,0.010396039603960397,8.37681,10,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,68.5697,10,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.4171,10,15,1.0
instancias-tsplib,29,406,TABU_A,2186.0,2020,0.08217821782178218,17.7084,11,15,0.2
instancias-tsplib,29,406,TABU_S,2186.0,2020,0.08217821782178218,6.32374,11,15,0.2
instancias-tsplib,29,406,TABU_A,2079.0,2020,0.02920792079207921,37.5694,11,15,0.5
instancias-tsplib,29,406,TABU_S,2066.0,2020,0.02277227722772277,8.76741,11,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,68.4572,11,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.2326,11,15,1.0
instancias-tsplib,29,406,TABU_A,2204.0,2020,0.09108910891089109,18.3022,12,15,0.2
instancias-tsplib,29,406,TABU_S,2121.0,2020,0.05,6.38992,12,15,0.2
instancias-tsplib,29,406,TABU_A,2085.0,2020,0.03217821782178218,36.9015,12,15,0.5
instancias-tsplib,29,406,TABU_S,2069.0,2020,0.024257425742574258,8.5863,12,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,67.1665,12,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.709,12,15,1.0
instancias-tsplib,29,406,TABU_A,2179.0,2020,0.07871287128712871,18.842,13,15,0.2
instancias-tsplib,29,406,TABU_S,2158.0,2020,0.06831683168316832,6.66591,13,15,0.2
instancias-tsplib,29,406,TABU_A,2112.0,2020,0.04554455445544554,38.0284,13,15,0.5
instancias-tsplib,29,406,TABU_S,2053.0,2020,0.016336633663366337,8.45945,13,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,69.7843,13,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.4641,13,15,1.0
instancias-tsplib,29,406,TABU_A,2179.0,2020,0.07871287128712871,17.6153,14,15,0.2
instancias-tsplib,29,406,TABU_S,2164.0,2020,0.07128712871287128,6.07642,14,15,0.2
instancias-tsplib,29,406,TABU_A,2085.0,2020,0.03217821782178218,37.2756,14,15,0.5
instancias-tsplib,29,406,TABU_S,2060.0,2020,0.019801980198019802,8.77008,14,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,68.094,14,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.3447,14,15,1.0
