dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones
aleatorias-complejidad,40,780,VEC,143.0,-,-,0.085862,-,-
aleatorias-complejidad,40,780,AGM,379.0,-,-,0.137651,-,-
aleatorias-complejidad,40,780,TABU_A,107.0,-,-,29.8578,3,5
aleatorias-complejidad,40,780,TABU_S,94.0,-,-,9.38952,3,5
aleatorias-complejidad,41,820,INS,160.0,-,-,0.865929,-,-
aleatorias-complejidad,41,820,VEC,91.0,-,-,0.072291,-,-
aleatorias-complejidad,41,820,AGM,381.0,-,-,0.136012,-,-
aleatorias-complejidad,41,820,TABU_A,80.0,-,-,32.0353,3,5
aleatorias-complejidad,41,820,TABU_S,68.0,-,-,9.4332,3,5
aleatorias-complejidad,42,861,INS,112.0,-,-,0.909663,-,-
aleatorias-complejidad,42,861,VEC,128.0,-,-,0.080373,-,-
aleatorias-complejidad,42,861,AGM,370.0,-,-,0.137711,-,-
aleatorias-complejidad,42,861,TABU_A,92.0,-,-,33.5028,3,5
aleatorias-complejidad,42,861,TABU_S,75.0,-,-,10.5057,3,5
aleatorias-complejidad,43,903,INS,163.0,-,-,0.922909,-,-
aleatorias-complejidad,43,903,VEC,131.0,-,-,0.076616,-,-
aleatorias-complejidad,43,903,AGM,438.0,-,-,0.146628,-,-
aleatorias-complejidad,43,903,TABU_A,114.0,-,-,36.6538,3,5
aleatorias-complejidad,43,903,TABU_S,75.0,-,-,10.2688,3,5
aleatorias-complejidad,44,946,INS,130.0,-,-,1.03695,-,-
aleatorias-complejidad,44,946,VEC,123.0,-,-,0.083405,-,-
aleatorias-complejidad,44,946,AGM,408.0,-,-,0.156676,-,-
aleatorias-complejidad,44,946,TABU_A,95.0,-,-,40.6522,3,5
aleatorias-complejidad,44,946,TABU_S,68.0,-,-,10.8262,3,5
aleatorias-complejidad,45,990,INS,199.0,-,-,1.05506,-,-
aleatorias-complejidad,45,990,VEC,129.0,-,-,0.079456,-,-
aleatorias-complejidad,45,990,AGM,435.0,-,-,0.16171,-,-
aleatorias-complejidad,45,990,TABU_A,99.0,-,-,41.5938,3,5
aleatorias-complejidad,45,990,TABU_S,86.0,-,-,11.5226,3,5
aleatorias-complejidad,46,1035,INS,176.0,-,-,1.13385,-,-
aleatorias-complejidad,46,1035,VEC,146.0,-,-,0.090792,-,-
aleatorias-complejidad,46,1035,AGM,432.0,-,-,0.20972,-,-
aleatorias-complejidad,46,1035,TABU_A,117.0,-,-,48.9504,3,5
aleatorias-complejidad,46,1035,TABU_S,98.0,-,-,12.1569,3,5
aleatorias-complejidad,47,1081,INS,188.0,-,-,1.14865,-,-
