dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.20326,83,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.33168,84,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.21582,85,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.34801,86,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.24152,87,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.58338,88,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.48139,89,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.49131,90,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.46155,91,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.58942,92,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.37141,93,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.33698,94,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.35969,95,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.89804,96,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.53737,97,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.2644,98,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.67993,99,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.7666,100,15,1.0
instancias-tsplib,14,91,TABU_S,4048.0,3323,0.21817634667469155,0.031215,3,0,0.3
instancias-tsplib,14,91,TABU_S,3814.0,3323,0.14775804995486005,0.140811,3,1,0.3
instancias-tsplib,14,91,TABU_S,3727.0,3323,0.12157688835389709,0.25501,3,2,0.3
instancias-tsplib,14,91,TABU_S,3798.0,3323,0.1429431236834186,0.297944,3,3,0.3
instancias-tsplib,14,91,TABU_S,3617.0,3323,0.08847427023773699,0.366699,3,4,0.3
instancias-tsplib,14,91,TABU_S,3490.0,3323,0.05025579295817033,0.436358,3,5,0.3
instancias-tsplib,14,91,TABU_S,3490.0,3323,0.05025579295817033,0.594079,3,6,0.3
instancias-tsplib,14,91,TABU_S,3758.0,3323,0.13090580800481494,0.620242,3,7,0.3
instancias-tsplib,14,91,TABU_S,3394.0,3323,0.021366235329521515,0.692221,3,8,0.3
instancias-tsplib,14,91,TABU_S,3721.0,3323,0.11977129100210653,0.766536,3,9,0.3
instancias-tsplib,14,91,TABU_S,3535.0,3323,0.06379777309659945,0.818504,3,10,0.3
instancias-tsplib,14,91,TABU_S,3404.0,3323,0.024375564249172435,1.0901,3,11,0.3
instancias-tsplib,14,91,TABU_S,3599.0,3323,0.08305747818236534,1.47188,3,12,0.3
instancias-tsplib,14,91,TABU_S,3814.0,3323,0.14775804995486005,1.05606,3,13,0.3
instancias-tsplib,14,91,TABU_S,3394.0,3323,0.021366235329521515,1.24067,3,14,0.3
instancias-tsplib,14,91,TABU_S,3490.0,3323,0.05025579295817033,1.26234,3,15,0.3
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,1.51896,3,16,0.3
instancias-tsplib,14,91,TABU_S,3490.0,3323,0.05025579295817033,1.43151,3,17,0.3
instancias-tsplib,14,91,TABU_S,3641.0,3323,0.09569665964489919,1.66211,3,18,0.3
instancias-tsplib,14,91,TABU_S,3599.0,3323,0.08305747818236534,1.59678,3,19,0.3
instancias-tsplib,14,91,TABU_S,3500.0,3323,0.053265121877821245,1.98222,3,20,0.3
instancias-tsplib,14,91,TABU_S,3490.0,3323,0.05025579295817033,1.68389,3,21,0.3
instancias-tsplib,14,91,TABU_S,3490.0,3323,0.05025579295817033,1.885,3,22,0.3
instancias-tsplib,14,91,TABU_S,3416.0,3323,0.027986758952753536,2.33294,3,23,0.3
instancias-tsplib,14,91,TABU_S,3769.0,3323,0.13421606981643094,2.52289,3,24,0.3
instancias-tsplib,14,91,TABU_S,3599.0,3323,0.08305747818236534,2.37608,3,25,0.3
