dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,130,8385,TABU_S,6517.0,6110,0.06661211129296235,437.113,130,14,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,6300.15,130,14,1.0
instancias-tsplib,130,8385,TABU_S,6517.0,6110,0.06661211129296235,523.531,130,14,1.0
instancias-tsplib,130,8385,TABU_A,7522.0,6110,0.23109656301145662,1193.98,130,12,0.2
instancias-tsplib,130,8385,TABU_S,6740.0,6110,0.10310965630114566,193.979,130,12,0.2
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,2256.68,130,12,0.4
instancias-tsplib,130,8385,TABU_S,6732.0,6110,0.10180032733224223,253.87,130,12,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,3291.22,130,12,0.6
instancias-tsplib,130,8385,TABU_S,6662.0,6110,0.09034369885433716,310.582,130,12,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,4341.72,130,12,0.8
instancias-tsplib,130,8385,TABU_S,6566.0,6110,0.07463175122749591,377.11,130,12,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,5397.67,130,12,1.0
instancias-tsplib,130,8385,TABU_S,6534.0,6110,0.06939443535188217,450.476,130,12,1.0
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,991.06,130,10,0.2
instancias-tsplib,130,8385,TABU_S,6959.0,6110,0.13895253682487724,164.15,130,10,0.2
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,1868.18,130,10,0.4
instancias-tsplib,130,8385,TABU_S,6785.0,6110,0.1104746317512275,208.376,130,10,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,2753.88,130,10,0.6
instancias-tsplib,130,8385,TABU_S,6686.0,6110,0.09427168576104747,263.206,130,10,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,3616.34,130,10,0.8
instancias-tsplib,130,8385,TABU_S,6602.0,6110,0.08052373158756138,311.001,130,10,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,4483.86,130,10,1.0
instancias-tsplib,130,8385,TABU_S,6602.0,6110,0.08052373158756138,389.706,130,10,1.0
instancias-tsplib,130,8385,TABU_A,7465.0,6110,0.22176759410801963,828.878,130,8,0.2
instancias-tsplib,130,8385,TABU_S,6962.0,6110,0.13944353518821603,131.281,130,8,0.2
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,1536.99,130,8,0.4
instancias-tsplib,130,8385,TABU_S,6845.0,6110,0.12029459901800327,178.736,130,8,0.4
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,2245.19,130,8,0.6
instancias-tsplib,130,8385,TABU_S,6847.0,6110,0.12062193126022913,208.374,130,8,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,2915.0,130,8,0.8
instancias-tsplib,130,8385,TABU_S,6765.0,6110,0.1072013093289689,250.852,130,8,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,3612.43,130,8,1.0
instancias-tsplib,130,8385,TABU_S,6765.0,6110,0.1072013093289689,298.089,130,8,1.0
instancias-tsplib,130,8385,TABU_A,7498.0,6110,0.2271685761047463,595.826,130,6,0.2
instancias-tsplib,130,8385,TABU_S,7062.0,6110,0.155810147299509,98.1258,130,6,0.2
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,1136.17,130,6,0.4
instancias-tsplib,130,8385,TABU_S,6957.0,6110,0.1386252045826514,123.155,130,6,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,1644.02,130,6,0.6
instancias-tsplib,130,8385,TABU_S,6949.0,6110,0.13731587561374795,153.762,130,6,0.6
